"BehaviorSpace results (NetLogo 5.3.1)"
"Model 12 Marketing Networking in Micro Firms version promotores 2_Estrategiav19.nlogo"
"Promoters vs WoM_sales"
"09/19/2016 14:09:12:815 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","0","0","0"
,"0","0","0","0","0","0","6","5","1","0","0","0","1","0","0","1","0","2","2","0","1","1","0","0","0","0","0","0","0","0"
,"3","0","0","2","0","0","0","0","1","1","0","0","0","0","0","1","0","1","2","2","1","0","0","0","0","0","0","1","0","0"
,"0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","4","0","1","17","16","1","0","0","0","0","0","0"
,"1","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","2","11","9","3","1","0","0","0","0","0"
,"1","0","0","0","0","0","0","0","1","1","1","1","0","0","0","0","0","0","0","0","2","4","3","4","1","0","0","0","0","0"
,"2","0","0","0","0","0","0","0","1","0","0","1","0","0","0","3","0","0","0","0","2","3","2","4","1","0","0","0","0","0"
,"1","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","1","3","0","4","0","0","0","1","0","0"
,"1","0","0","1","0","0","0","0","1","1","1","1","0","0","0","2","0","0","1","0","1","3","0","4","1","0","0","0","0","0"
,"0","0","0","0","0","0","1","0","1","1","0","1","0","0","0","1","0","0","0","0","1","0","0","4","2","0","0","0","0","0"
,"1","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","1","4","3","5","1","0","0","1","0","0"
,"1","0","0","1","0","0","0","0","0","1","0","1","0","0","0","1","0","0","0","0","1","2","1","5","2","0","0","0","0","0"
,"1","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1","0","0","1","0","1","2","1","4","0","0","0","1","0","0"
,"1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","2","0","0","0","0","0","1","0","2","3","0","0","0","0","0"
,"2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","1","0","1","0","0","0"
,"0","0","0","1","0","0","2","0","0","0","0","0","0","0","0","2","0","0","0","0","0","2","0","1","5","3","1","0","0","0"
,"1","0","0","0","0","0","0","0","0","1","0","0","2","0","0","0","0","0","4","0","0","2","0","1","1","0","1","1","0","0"
,"1","0","0","1","0","0","1","0","0","0","0","0","0","0","1","1","0","0","1","0","0","0","0","2","0","0","1","0","0","0"
,"2","0","0","1","0","0","2","0","0","0","0","0","1","0","1","1","0","0","2","0","0","1","0","2","0","0","1","1","0","0"
,"1","0","0","2","0","0","2","0","0","1","0","0","0","0","1","3","0","0","1","0","0","0","0","1","2","0","1","2","0","0"
,"0","0","0","1","0","0","0","0","0","0","0","0","1","0","1","2","0","0","0","0","0","1","0","1","0","0","1","0","0","0"
